Tract,Longitude,Latitude,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,MedianIncome,MedianHouseValue
2826,-118.49,34.25,30,2871,470,1335,458,5.0232,253.9
2827,-118.49,34.24,35,2707,446,1224,445,5.2939,244.2
2828,-118.49,34.24,34,1971,316,917,307,6.0965,262.3
2829,-118.5,34.25,32,2333,389,969,331,4.8164,241.1
2830,-118.5,34.25,32,2411,380,1040,344,6.155,257.3
2831,-118.49,34.22,30,1756,314,899,288,5.0325,238.2
2832,-118.47,34.23,22,8350,2717,9135,2452,2.5008,160
2833,-118.48,34.23,35,1963,310,919,297,4.7583,258.6
2834,-118.48,34.23,29,3354,707,1752,650,4.5484,239.9
2835,-118.46,34.23,20,4609,1499,5349,1377,2.7121,169.4
2836,-118.46,34.23,16,6338,1768,4718,1632,3.0187,154.6
2837,-118.42,34.24,36,1181,220,775,218,4.7228,183.8
2838,-118.43,34.24,36,1488,313,1221,296,4.0208,171.4
2839,-118.41,34.23,35,1026,195,753,185,4.5909,179.2
2840,-118.41,34.24,38,490,101,402,100,3.125,175.9
2841,-118.44,34.26,34,1102,212,949,212,4.0792,165.1
2842,-118.43,34.25,32,2433,553,2318,532,3.6384,159.3
2843,-118.45,34.25,21,2143,565,1803,497,3.9833,162.5
2844,-118.45,34.24,11,9053,2193,7096,2038,3.5082,136.5
2845,-118.45,34.23,15,5738,1767,4620,1581,2.3584,157.6
2846,-118.45,34.24,7,3299,794,2343,647,3.0865,205.9
2847,-118.43,34.24,35,1488,293,1112,288,4.4688,182.5
2848,-118.44,34.24,35,2344,435,1531,399,3.725,178.2
2849,-118.42,34.23,33,2478,457,1567,446,5.6629,186.7
2850,-118.42,34.22,29,1807,323,1234,310,5.3767,233
2851,-118.43,34.23,35,2049,390,1286,385,4.4432,181.5
2852,-118.43,34.24,36,1379,265,896,246,4.6827,183.8
2853,-118.43,34.23,37,1737,369,1061,356,3.9615,173.7
2854,-118.43,34.24,37,1279,241,987,233,4.0057,172.7
2855,-118.44,34.23,36,1730,387,1099,353,4.0368,183.1
2856,-118.43,34.22,34,1588,360,1080,340,3.66,184.6
2857,-118.44,34.22,39,1529,344,913,314,3.325,178.2
2858,-118.46,34.22,35,2288,617,2222,566,2.6299,170.7
2859,-118.46,34.22,39,1500,333,998,309,3.9625,168.2
2860,-118.46,34.22,31,2057,601,2397,579,2.871,184.4
2861,-118.45,34.22,24,3442,1168,4625,1097,2.0699,183
2862,-118.45,34.23,25,4393,1369,3781,1267,2.5833,183.7
2863,-118.45,34.22,8,2609,786,1803,695,2.7714,185.7
2864,-118.46,34.23,19,9902,2814,7307,2660,2.585,145.4
2865,-118.44,34.22,36,1191,266,718,248,3.4612,178.8
2866,-118.44,34.21,41,1440,325,1014,322,2.875,168.6
2867,-118.44,34.22,41,1582,399,1159,378,2.825,168.6
2868,-118.43,34.21,17,3667,1209,2636,1054,2.425,175.5
2869,-118.4,34.21,30,2453,544,1753,506,2.9803,191.5
2870,-118.41,34.21,35,2215,459,1594,446,4.0167,193.2
2871,-118.4,34.22,36,2557,540,1556,491,3.6591,183.8
2872,-118.38,34.25,38,983,185,513,170,4.8816,231.5
2873,-118.37,34.24,40,1283,246,594,236,4.1121,229.2
2874,-118.37,34.23,32,1444,317,1177,311,3.6,164.6
2875,-118.37,34.22,17,1787,463,1671,448,3.5521,151.5
2876,-118.38,34.24,38,125,42,63,29,1.3594,158.3
2877,-118.4,34.24,35,2552,545,1850,503,4.775,179.5
2878,-118.39,34.23,18,3405,831,3001,795,3.0083,181.9
2879,-118.4,34.23,36,1643,349,1414,337,4.1181,172.7
2880,-118.41,34.21,35,1789,292,897,267,5.592,239.9
2881,-118.39,34.21,32,1869,441,1516,432,3.6845,178.5
2882,-118.39,34.21,14,2807,868,2729,803,2.6667,172.4
2883,-118.38,34.22,20,1176,344,864,318,2.375,177.7
2884,-118.38,34.21,35,1468,303,1295,300,3.7708,170.6
2885,-118.38,34.21,33,1981,484,1665,466,3.0833,179.1
2886,-118.42,34.22,34,3004,589,1938,568,4.1857,198.6
2887,-118.42,34.21,29,2893,543,1636,540,5.1586,237.4
2888,-118.42,34.2,34,161,48,66,33,1,187.5
2889,-118.42,34.23,34,1531,278,1064,274,5.6687,207.3
2890,-118.37,34.21,36,1392,326,1181,303,3.1563,176.4
2891,-118.37,34.21,34,2272,558,2164,484,3.7143,175.7
2892,-118.37,34.22,11,2127,581,1989,530,2.9028,174.1
2893,-118.36,34.23,15,2485,742,1994,670,2.8333,183.2
2894,-118.36,34.21,41,337,65,198,50,1.8929,152.9
2895,-118.38,34.2,23,4138,1171,3911,1068,3.0125,181.7
2896,-118.39,34.2,17,2594,1028,3950,973,2.0348,177.2
2897,-118.37,34.21,33,2034,470,1990,423,3.7455,159.6
2898,-118.37,34.2,34,2199,609,2488,597,2.9861,171.8
2899,-118.37,34.2,33,1438,309,1378,306,2.8917,170.4
2900,-118.36,34.19,11,2921,685,1512,664,4.1445,176.4
2901,-118.36,34.18,34,1471,423,995,386,2.9583,188.7
2902,-118.36,34.18,36,2233,605,1934,599,2.8784,194.9
2903,-118.37,34.18,33,1829,512,1345,500,3.1629,198.9
2904,-118.37,34.19,19,2890,821,2203,705,2.6696,185.1
2905,-118.39,34.19,41,2000,485,1439,461,3.0491,192
2906,-118.39,34.19,23,1875,710,2555,657,2.0968,162.5
2907,-118.39,34.2,19,2012,732,3483,731,2.2234,181.3
2908,-118.37,34.19,41,2924,867,2751,836,2.1,171.6
2909,-118.38,34.2,32,993,285,1044,248,2.4306,187.5
2910,-118.4,34.2,13,4859,1293,3351,1200,3.6875,211.9
2911,-118.4,34.19,37,934,231,587,230,3.625,181.3
2912,-118.4,34.2,30,2392,655,1987,609,2.8424,226.4
2913,-118.4,34.19,35,2180,599,1483,574,3.0395,191.3
2914,-118.41,34.2,32,2734,654,2209,610,3.5164,217.2
2915,-118.42,34.2,24,3148,908,2850,839,1.9549,221.5
2916,-118.42,34.2,27,3201,970,3403,948,2.2377,231.7
2917,-118.43,34.2,28,3386,815,2240,737,3.0221,290.1
2918,-118.42,34.19,33,3353,790,2318,775,2.2589,269.7
2919,-118.42,34.19,33,3285,830,2281,786,2.6165,230.8
2920,-118.42,34.18,27,3760,880,2022,812,3.1551,225.6
2921,-118.42,34.18,31,2887,646,1626,637,3.6745,335.5
2922,-118.42,34.18,30,1323,353,856,333,3.3594,202.2
2923,-118.43,34.18,33,2717,662,1546,597,3.9099,267.5
2924,-118.43,34.18,31,2417,510,1102,507,3.8906,282.2
2925,-118.41,34.18,43,1840,356,966,323,4.7171,237.9
2926,-118.41,34.18,30,2008,513,1052,496,3.0119,262.2
2927,-118.41,34.19,37,1993,425,939,400,2.8021,224.6
2928,-118.4,34.18,32,3724,899,1912,791,3.5711,312.7
2929,-118.4,34.17,27,3588,911,1891,871,3.4013,286
2930,-118.39,34.19,25,3794,989,2454,876,2.9982,204.2
2931,-118.39,34.17,26,3345,818,1599,773,3.3516,241.5
2932,-118.39,34.19,36,904,191,627,191,2.4167,192.9
2933,-118.4,34.16,45,1176,250,471,228,2.3333,364.7
2934,-118.4,34.16,35,1354,284,501,262,3.8056,384.7
2935,-118.4,34.16,34,2638,580,1150,551,4.2989,364.7
2936,-118.41,34.17,35,2027,428,879,402,4.692,330.9
2937,-118.38,34.18,40,2079,568,1396,526,3.0061,190.8
2938,-118.38,34.18,27,4834,1527,3847,1432,2.1449,165.3
2939,-118.38,34.18,24,1983,651,2251,574,2.4792,200
2940,-118.38,34.17,33,1588,454,739,392,2.8208,238.5
2941,-118.37,34.18,42,1140,300,643,252,3.3958,178.4
2942,-118.38,34.18,44,901,179,473,179,3.3125,186.4
2943,-118.38,34.19,30,977,264,736,258,1.9866,177.4
2944,-118.37,34.18,35,2949,794,2106,746,2.9228,177.3
2945,-118.38,34.18,32,3553,1060,3129,1010,2.5603,174.2
2946,-118.36,34.18,31,1109,354,1119,334,2.3056,200
2947,-118.36,34.17,31,1939,505,1584,466,2.5234,199.5
2948,-118.41,34.18,35,2785,663,1631,614,3.9038,276.1
2949,-118.41,34.17,27,3277,648,1382,615,3.875,366.1
2950,-118.43,34.17,32,3202,696,1573,621,3.4449,292.9
2951,-118.43,34.17,35,2922,507,1130,485,5.451,341.8
2952,-118.43,34.16,34,2459,489,1139,463,4.0347,353.6
2953,-118.42,34.15,27,2795,602,1073,535,5.1496,365
2954,-118.42,34.16,28,4664,1040,1963,961,3.9028,367.9
2955,-118.41,34.16,14,577,150,372,130,4.1875,275
2956,-118.42,34.16,25,2769,566,1201,545,3.6641,386.1
2957,-118.4,34.17,24,4443,1283,2421,1180,2.2652,269.2
2958,-118.4,34.17,24,6347,1548,2945,1492,3.3545,221.5
2959,-118.39,34.17,28,2790,748,1351,697,3.2052,283.6
2960,-118.39,34.17,26,6429,1611,2806,1491,3.1929,265.2
2961,-118.39,34.16,37,1388,286,547,258,5.1584,444.7
2962,-118.38,34.17,30,2016,622,1359,557,2.7708,192.3
2963,-118.38,34.16,46,2609,593,1055,585,3.3177,309.4
2964,-118.38,34.16,31,2197,501,944,474,3.7312,319.4
2965,-118.36,34.17,44,2295,560,1543,528,2.3851,194.1
2966,-118.37,34.17,15,3327,1011,2683,857,2.3784,185.4
2967,-118.37,34.17,10,1431,473,1438,429,2.2756,221.4
2968,-118.37,34.17,6,854,350,542,321,0.8198,325
2969,-118.37,34.16,6,6526,2007,3298,1790,2.7231,250
2970,-118.37,34.16,10,2606,748,1373,680,3.6128,225
2971,-118.37,34.16,25,2450,618,1054,578,3.6375,262.5
2972,-118.37,34.16,40,1973,382,774,352,4.4122,282.3
2973,-118.36,34.16,43,2850,709,1510,670,2.4835,274.3
2974,-118.36,34.16,32,2455,556,989,493,4.0764,325
2975,-118.37,34.16,17,4150,1148,1808,1041,3.5051,232.4
2976,-118.37,34.16,11,2901,871,1659,789,3.1106,209.4
2977,-118.36,34.16,42,2304,442,862,429,4.3542,417.9
2978,-118.43,34.2,20,4090,1271,2824,1053,2.773,140.5
2979,-118.43,34.21,26,2867,671,1955,640,4.125,226.5
2980,-118.44,34.2,28,1732,435,1198,417,2.9219,241.3
2981,-118.44,34.21,20,5756,1477,4031,1369,3.2448,221.2
2982,-118.45,34.21,30,2331,733,2172,707,2.1888,195.6
2983,-118.45,34.2,19,3666,1150,2657,1090,2.9688,202.1
2984,-118.46,34.2,13,2926,816,1867,802,3.5255,202.7
2985,-118.46,34.21,7,2081,657,1456,535,3.5,186.9
2986,-118.47,34.21,34,2512,603,1805,584,2.9735,220
2987,-118.47,34.2,20,3939,1143,2475,1002,2.9025,229.1
2988,-118.48,34.21,25,2879,723,2077,649,3.3864,197.4
2989,-118.48,34.2,26,2027,559,1545,513,2.8974,189.9
2990,-118.48,34.22,22,3430,1214,3618,1092,2.1974,93.8
2991,-118.49,34.21,25,1131,449,746,420,1.3565,225
2992,-118.49,34.19,23,2087,571,1809,553,3.1667,202
2993,-118.49,34.2,35,1109,206,515,202,5.2118,215.8
2994,-118.5,34.2,34,1617,344,938,305,3.915,217.7
2995,-118.48,34.2,12,3831,1083,2258,967,2.4375,255.4
2996,-118.48,34.2,23,2850,864,2249,777,2.6957,191.7
2997,-118.48,34.19,20,5699,1594,3809,1381,2.8646,221.1
2998,-118.48,34.19,36,2058,423,1132,423,3.8833,210.4
2999,-118.47,34.2,25,4590,1477,2723,1195,2.7118,281.7
3000,-118.47,34.19,33,3879,943,2113,843,3.892,292.9
3001,-118.45,34.2,18,2729,800,2099,742,2.5842,230.8
3002,-118.46,34.2,22,4855,1350,2519,1258,3.0893,205.6
3003,-118.45,34.19,37,1073,254,739,253,2.4667,192.2
3004,-118.46,34.19,20,5992,1820,4826,1632,2.7237,233.5
3005,-118.43,34.2,29,3051,694,1942,679,3.1118,238.1
3006,-118.44,34.2,36,2698,623,1544,554,2.7375,234.9
3007,-118.44,34.2,17,2934,950,2517,889,2.936,232.5
3008,-118.43,34.19,27,3440,739,1827,712,4.125,245.5
3009,-118.44,34.19,19,3487,959,2278,835,2.6709,215.5
3010,-118.44,34.19,29,1599,459,1143,438,2.4583,199.1
3011,-118.44,34.19,11,2891,951,2166,768,2.891,178.1
3012,-118.44,34.18,17,1546,592,2423,556,2.1977,154.2
3013,-118.45,34.19,11,2479,900,2466,855,2.2264,181.3
3014,-118.45,34.18,22,2516,826,3350,713,2.0192,158.3
3015,-118.46,34.18,27,2582,719,2038,718,3.0877,174.2
3016,-118.47,34.19,41,1104,196,495,196,5.0929,225
3017,-118.45,34.18,39,1810,388,839,380,3.7171,228.8
3018,-118.45,34.18,34,1843,442,861,417,3.6875,246.4
3019,-118.46,34.18,35,1819,465,1336,419,3.4583,253.2
3020,-118.44,34.18,35,972,270,550,256,2.2461,215
3021,-118.44,34.17,25,4966,1134,1941,958,3.8081,286.7
3022,-118.45,34.18,33,2077,486,1021,450,3.6019,225
3023,-118.43,34.18,25,3830,1105,2328,1017,2.6238,210
3024,-118.44,34.18,33,2127,414,1056,391,4.375,286.1
3025,-118.44,34.17,29,2685,642,1085,599,3.2763,279.4
3026,-118.44,34.16,35,3080,642,1362,623,4.1218,328.5
3027,-118.44,34.16,33,1616,322,580,311,4.0391,337.5
3028,-118.45,34.16,22,4982,1358,2237,1220,3.7105,272.6
3029,-118.45,34.17,21,2152,527,996,470,3.2386,277.3
3030,-118.45,34.17,33,3100,687,1388,658,4.3333,261.3
3031,-118.46,34.17,24,2814,675,1463,620,4.1875,309.3
3032,-118.46,34.17,22,6707,1737,2620,1610,3.1478,273.7
3033,-118.45,34.16,33,2544,500,1035,492,4.475,314.8
3034,-118.46,34.16,28,2795,622,1173,545,4.4423,280.4
3035,-118.46,34.16,26,2548,647,1098,540,4.3839,299.1
3036,-118.54,34.21,22,6064,1826,4876,1697,2.875,227.1
3037,-118.54,34.21,32,2593,566,1596,547,3.9886,199.2
3038,-118.54,34.19,33,2205,453,1242,419,4.1319,203.7
3039,-118.51,34.22,36,2794,523,1334,472,4.3462,222.1
3040,-118.5,34.21,36,1656,310,817,308,5.5675,215.9
3041,-118.51,34.21,36,2396,421,1064,398,4.7,223.6
3042,-118.51,34.22,36,1493,285,766,272,4.8646,213.2
3043,-118.52,34.22,35,1620,272,1052,248,5.5209,203.3
3044,-118.52,34.21,34,1663,299,762,282,5.1265,211
3045,-118.53,34.21,18,3124,796,1855,725,2.9389,213.2
3046,-118.55,34.21,35,2592,490,1427,434,5.0623,246.4
3047,-118.56,34.22,35,1843,329,1041,317,4.4271,205.1
3048,-118.55,34.21,33,3910,838,2097,810,3.8247,208.7
3049,-118.56,34.21,13,8327,1849,4126,1773,3.7313,189.8
3050,-118.52,34.2,35,2891,594,1757,581,4.3571,199.8
3051,-118.53,34.2,33,3270,818,2118,763,3.225,205.3
3052,-118.5,34.21,35,1668,332,807,311,4.5125,200.3
3053,-118.51,34.2,37,2066,434,1031,414,4.0924,188.4
3054,-118.52,34.21,36,1328,287,823,273,4.5648,193.7
3055,-118.51,34.2,33,2327,479,1166,472,4.2344,262.5
3056,-118.51,34.2,34,2871,581,1350,535,3.7049,227.5
3057,-118.51,34.19,38,2182,409,1141,379,4.2865,221.1
3058,-118.5,34.2,18,4249,933,2047,909,4.1304,229.1
3059,-118.5,34.19,35,2720,490,1158,445,5.0796,228.3
3060,-118.5,34.19,26,2156,509,1142,470,4,224.7
3061,-118.52,34.2,19,4315,1304,2490,1222,2.6437,195
3062,-118.53,34.2,26,2221,662,1998,603,2.8701,191.1
3063,-118.55,34.2,21,2549,651,1624,628,3.6905,179.8
3064,-118.55,34.19,18,5862,1322,3161,1280,3.1106,170.6
3065,-118.55,34.2,31,1963,420,1494,415,3.5313,211.8
3066,-118.52,34.19,42,881,170,464,163,2.9511,203.9
3067,-118.52,34.19,37,1892,347,1039,343,4.8295,212.1
3068,-118.53,34.19,32,2618,692,1961,633,2.625,192.3
3069,-118.53,34.18,26,4175,885,2118,778,4.2083,240.3
3070,-118.56,34.2,36,1544,308,891,286,4.175,190.9
3071,-118.56,34.2,35,2273,410,1431,403,4.0789,196.7
3072,-118.56,34.19,35,782,144,425,140,5.4548,201.4
3073,-118.56,34.19,34,1237,242,671,221,3.9615,183.6
3074,-118.56,34.19,34,2579,561,1237,517,4.433,235.1
3075,-118.54,34.19,22,3380,790,2199,737,2.5739,239.2
3076,-118.54,34.18,25,1938,457,1280,425,3.9632,240.3
3077,-118.55,34.19,31,1856,370,990,360,4.3654,223.8
3078,-118.58,34.21,24,2642,696,1649,633,3.0187,217.7
3079,-118.59,34.21,26,2335,669,1986,645,2.9974,178.8
3080,-118.59,34.2,18,847,185,733,178,5.2149,201.9
3081,-118.58,34.2,37,1389,252,826,249,5.015,220.9
3082,-118.57,34.22,27,2795,606,1702,586,3.7798,258.4
3083,-118.57,34.21,23,4891,793,2447,765,5.8798,270.5
3084,-118.57,34.22,17,3262,753,1879,708,4.1359,255.2
3085,-118.58,34.21,13,6227,1317,3739,1226,4.0313,299.3
3086,-118.58,34.21,27,2209,353,1034,344,4.7125,250.9
3087,-118.59,34.21,34,1943,320,895,305,5.0462,227.7
3088,-118.59,34.21,34,2389,521,1560,514,4.8333,225.4
3089,-118.6,34.21,21,9512,2560,7282,2387,2.8039,227.5
3090,-118.62,34.21,26,3234,517,1597,513,6.1074,258.6
3091,-118.62,34.22,34,2633,471,1313,428,4.0909,232.9
3092,-118.61,34.21,33,2609,431,1208,406,5.4527,227.1
3093,-118.62,34.2,23,3098,542,1486,492,5.7613,235.8
3094,-118.63,34.21,31,3952,647,1762,588,5.5709,244.8
3095,-118.64,34.22,16,4312,574,1902,574,8.4438,390
3096,-118.65,34.2,23,7480,1084,3037,1058,6.9223,338.4
3097,-118.62,34.2,32,3233,553,1678,545,5.0025,234.9
3098,-118.63,34.2,19,7411,1045,2814,950,6.7785,336.1
3099,-118.59,34.21,17,2737,868,2924,785,2.5797,183.5
3100,-118.59,34.2,21,1789,679,2300,677,2.754,179.8
3101,-118.6,34.2,10,2869,941,2162,829,3.2297,150
3102,-118.6,34.21,19,2581,857,2004,784,2.6159,182.3
3103,-118.56,34.2,35,1770,362,1083,355,5.0483,221
3104,-118.57,34.2,18,7157,1869,4642,1699,3.1818,208
3105,-118.58,34.2,21,2979,744,1824,692,3.5,223.7
3106,-118.56,34.19,36,2600,441,1246,426,4.1111,215.6
3107,-118.57,34.2,36,2559,469,1358,445,4.5568,201.5
3108,-118.58,34.2,35,1558,267,793,249,5.1463,220.2
3109,-118.58,34.2,35,1323,228,756,216,4.233,221.3
3110,-118.56,34.19,34,2185,372,986,347,4.8125,266.7
3111,-118.58,34.19,35,2329,399,966,336,3.8839,224.9
3112,-118.58,34.19,27,4286,1071,2863,1033,3.3125,222.8
3113,-118.58,34.19,15,3061,1079,2173,1078,2.85,187.5
3114,-118.62,34.2,29,2421,402,1120,388,5.0309,244.8
3115,-118.62,34.18,25,3124,468,1241,439,6.4044,333.1
3116,-118.61,34.2,29,1673,284,794,270,5.5191,245.8
3117,-118.61,34.19,28,3824,749,1790,701,4.1154,246.4
3118,-118.61,34.19,34,703,127,369,127,4.3125,210.1
3119,-118.6,34.19,16,14912,4183,5105,3302,2.8312,213.9
3120,-118.63,34.19,32,3568,591,1741,563,5.1529,259.6
3121,-118.63,34.18,32,1646,242,697,233,6.6689,433
3122,-118.64,34.19,33,3017,494,1423,470,5.6163,248.4
3123,-118.64,34.18,33,3808,623,1784,615,5.1641,263.4
3124,-118.64,34.19,28,3274,571,1424,521,4.4167,247.3
3125,-118.65,34.18,27,1793,339,1016,326,4.925,240.3
3126,-118.65,34.19,27,2772,511,1346,497,5.2016,243
3127,-118.63,34.17,33,4769,787,2019,743,5.5798,338.2
3128,-118.64,34.17,26,6767,903,2574,883,7.7846,409
3129,-118.57,34.18,36,2981,441,1243,413,6.5304,439.8
3130,-118.59,34.18,7,11853,2691,4404,2447,4.2009,271.3
3131,-118.61,34.17,19,5944,1345,2372,1250,3.8819,328.9
3132,-118.62,34.17,32,1491,355,756,296,3.0404,262.8
3133,-118.62,34.17,34,3268,538,1463,519,6.8482,308.3
3134,-118.63,34.18,33,5252,760,2041,730,6.7977,389.7
3135,-118.65,34.18,26,4607,656,1769,643,7.4918,367.6
3136,-118.66,34.18,25,6612,857,2519,843,8.3912,419
3137,-118.61,34.17,31,1689,362,705,360,4,278.5
3138,-118.61,34.15,32,4491,815,1696,749,4.9102,319.1
3139,-118.61,34.16,29,4364,647,1550,624,6.8107,367.4
3140,-118.63,34.16,33,2896,455,1116,411,6.0192,347.7
3141,-118.62,34.15,26,5661,791,2493,780,7.9814,409.9
3142,-118.57,34.17,31,1950,383,870,357,3.1875,500.001
3143,-118.58,34.17,18,6476,1082,2413,958,5.6327,500.001
3144,-118.59,34.17,36,1887,359,761,329,5.4847,296
3145,-118.6,34.16,37,3441,584,1283,544,4.1656,313.1
3146,-118.6,34.16,32,3999,667,1628,631,6.0794,338.5
3147,-118.57,34.15,22,5791,706,2059,673,10.9201,500.001
3148,-118.58,34.15,21,3856,547,1422,535,8.4196,450.7
3149,-118.59,34.15,29,2023,330,747,304,6.7694,369.7
3150,-118.6,34.15,28,4570,744,1693,695,6.14,361.9
3151,-118.59,34.14,19,1303,155,450,145,10.5511,483.1
3152,-118.51,34.18,37,1893,365,911,324,4.8036,295.3
3153,-118.51,34.17,31,3252,834,1411,760,3.1885,219
3154,-118.52,34.18,43,1700,380,930,349,3.675,213.1
3155,-118.52,34.18,46,2082,438,1047,393,3.6534,216
3156,-118.52,34.18,42,1611,410,879,386,3.1923,221.8
3157,-118.53,34.17,18,6430,1412,2897,1348,3.855,243.8
3158,-118.54,34.17,11,1080,174,386,160,6.1274,315.9
3159,-118.55,34.18,32,3011,529,1287,525,5.0605,311
3160,-118.56,34.18,39,1819,291,770,278,5.4088,457.3
3161,-118.54,34.18,17,7214,1994,4100,1823,3.0943,174.5
3162,-118.53,34.18,16,7194,1976,3687,1894,3.1887,189.3
3163,-118.54,34.17,34,2458,433,1034,373,5.6738,443.6
3164,-118.54,34.17,25,3352,891,1815,860,2.8528,425
3165,-118.55,34.17,36,2127,297,761,274,7.8392,500.001
3166,-118.56,34.17,35,2987,391,1244,387,7.1322,500.001
3167,-118.52,34.17,20,17377,4457,7450,4204,3.2154,259.6
3168,-118.52,34.16,39,2693,478,1219,435,5.17,335.4
3169,-118.53,34.16,32,3554,762,1623,750,3.6141,290.6
3170,-118.51,34.16,23,11154,1995,4076,1809,5.4609,500.001
3171,-118.48,34.16,32,2108,309,769,274,8.7172,500.001
3172,-118.49,34.16,37,3333,488,1171,485,6.4958,500.001
3173,-118.5,34.16,34,3547,523,1187,500,7.139,424
3174,-118.5,34.15,33,3104,387,1111,376,13.4196,500.001
3175,-118.49,34.14,28,3539,441,1190,421,10.6796,500.001
3176,-118.49,34.13,24,4394,535,1443,528,11.2979,500.001
3177,-118.51,34.14,28,6748,904,2431,876,12.8879,500.001
3178,-118.53,34.14,28,6920,906,2515,860,9.2189,500.001
3179,-118.54,34.15,26,10111,1295,3599,1257,10.2292,500.001
3180,-118.56,34.14,23,9657,1189,3585,1162,10.4399,500.001
3181,-118.43,34.15,28,6270,1706,2549,1497,3.2241,295.8
3182,-118.43,34.15,26,2900,667,1090,590,3.7125,447.4
3183,-118.44,34.15,29,5474,1457,2352,1326,3.415,382.5
3184,-118.44,34.15,44,1778,251,641,251,10.0549,500.001
3185,-118.44,34.15,15,4420,1076,1669,1016,4.6375,359.1
3186,-118.44,34.15,37,1335,286,539,279,3.2813,301.7
3187,-118.45,34.16,22,7828,2038,3303,1922,3.6171,318.3
3188,-118.45,34.15,20,3876,799,1334,753,4.5656,478.4
3189,-118.46,34.16,38,1495,300,598,280,3.4698,265.4
3190,-118.46,34.16,16,4590,1200,2195,1139,3.8273,334.9
3191,-118.47,34.15,7,6306,1473,2381,1299,4.642,457.3
3192,-118.47,34.16,30,3823,740,1449,612,4.6,392.5
3193,-118.47,34.15,43,804,117,267,110,8.2269,500.001
3194,-118.48,34.15,31,2536,429,990,424,5.4591,495.5
3195,-118.48,34.16,30,3507,536,1427,525,6.7082,500.001
3196,-118.48,34.14,31,9320,1143,2980,1109,10.3599,500.001
3197,-118.46,34.14,34,5264,771,1738,753,8.8115,500.001
3198,-118.47,34.14,36,2873,420,850,379,8.153,500.001
3199,-118.47,34.14,34,3646,610,1390,607,7.629,500.001
3200,-118.43,34.14,44,1693,239,498,216,10.9237,500.001
3201,-118.43,34.13,37,4400,695,1521,666,8.2954,500.001
3202,-118.45,34.14,33,1741,274,588,267,7.9625,490.8
3203,-118.35,34.15,52,1680,238,493,211,9.042,500.001
3204,-118.36,34.15,41,3545,698,1221,651,4.3,500.001
3205,-118.36,34.15,34,3659,921,1338,835,3.6202,366.1
3206,-118.37,34.15,23,4604,1319,2391,1227,3.1373,263.1
3207,-118.37,34.15,29,2630,617,1071,573,3.3669,376.1
3208,-118.38,34.16,42,2358,546,1065,523,3.1289,320.6
3209,-118.38,34.15,36,2933,619,1115,579,4.3036,365.9
3210,-118.39,34.15,29,3110,650,1212,642,4.2031,394.4
3211,-118.39,34.16,20,4084,1062,1637,987,3.2388,256.3
3212,-118.4,34.15,31,3881,909,1535,846,3.0398,369.1
3213,-118.42,34.15,48,680,131,268,126,4.615,371.4
3214,-118.42,34.15,18,1880,420,681,333,4.3214,372.3
3215,-118.42,34.15,31,1861,430,736,360,5.2853,355.9
3216,-118.42,34.16,17,277,70,119,59,4.0208,341.7
3217,-118.42,34.16,46,54,9,20,6,0.536,375
3218,-118.4,34.15,41,2394,500,837,417,4.3889,380.4
3219,-118.4,34.15,44,2515,510,967,484,5.0754,374.5
3220,-118.41,34.15,24,3891,866,1568,830,4.1656,364.7
3221,-118.41,34.15,46,1628,259,500,258,6.083,424
3222,-118.37,34.14,8,4382,1560,2138,1411,3.5714,197.9
3223,-118.37,34.14,21,4670,1161,1914,1094,3.7986,367.7
3224,-118.38,34.14,42,1253,225,492,224,7.7112,386.7
3225,-118.39,34.14,19,5076,1034,2021,960,5.5683,309.2
3226,-118.39,34.15,36,2696,713,905,659,3.1146,373.5
3227,-118.35,34.13,39,1610,278,511,278,4.3333,385.9
3228,-118.34,34.12,41,3257,679,1237,638,4.2415,409.6
3229,-118.36,34.13,36,6871,1180,2216,1130,8.0499,495.6
3230,-118.37,34.14,23,1883,512,774,478,3.5096,396.4
3231,-118.37,34.13,28,4287,627,1498,615,8.5677,500.001
3232,-118.39,34.14,34,4624,781,1572,719,6.5533,500.001
3233,-118.4,34.13,32,8262,1156,2712,1125,10.5575,500.001
3234,-118.4,34.14,52,1695,281,595,264,6.0678,399.3
3235,-118.4,34.14,45,417,89,187,88,5.1377,360.7
3236,-118.41,34.14,33,778,143,258,130,5.738,497.6
3237,-118.42,34.14,27,3990,892,1417,800,4.0439,500.001
3238,-118.42,34.13,38,3830,518,1292,516,12.7823,500.001
3239,-118.22,34.14,52,2298,406,1203,387,5.5291,274.6
3240,-118.22,34.14,52,1388,271,735,239,3.7404,247.7
3241,-118.2,34.14,52,3800,646,1842,620,5.5524,293.9
3242,-118.19,34.14,46,2387,488,1181,456,3.6058,257.9
3243,-118.19,34.14,38,1826,300,793,297,5.2962,291.5
3244,-118.22,34.14,50,3657,708,1725,644,5.5456,258.1
3245,-118.2,34.14,52,2090,466,1219,390,4.0909,204.2
3246,-118.21,34.14,44,1681,407,1105,387,3.2222,186.5
3247,-118.21,34.14,25,1908,628,1412,588,2.2267,189.8
3248,-118.2,34.14,51,1941,378,1012,371,3.9375,217
3249,-118.19,34.14,47,2525,523,1514,498,4.3359,209.2
3250,-118.19,34.13,52,2012,458,1314,434,3.925,180.4
3251,-118.2,34.13,52,2035,459,2589,438,3.5349,193.6
